paper_claim_or_item,artifact_file,evidence_type,status,notes
Table V / RQ5 signed-rank trend diagnostics,evidence/locked_sources/rq5_cross_dataset/rq5_cross_dataset_statistics.json,statistics JSON,included,Exact paired signed-rank statistics for RQ5 Macro-F1 and TRG deltas.
Section III-E matched streaming temporalization microbenchmark,evidence/locked_sources/temporalization_streaming/streaming_temporalization_comparison.csv,evidence CSV,included,Paper-aligned aggregate comparison for matched streaming window construction.
Section III-E matched streaming temporalization raw repetitions,evidence/locked_sources/temporalization_streaming/streaming_temporalization_raw_runs.csv,evidence CSV,included,Measured repetitions used to recompute medians and ratios.
Section III-E matched streaming temporalization summary,evidence/locked_sources/temporalization_streaming/streaming_temporalization_summary.csv,evidence CSV,included,Median and IQR summary by method.
Section III-E matched streaming temporalization correctness,evidence/locked_sources/temporalization_streaming/streaming_temporalization_correctness.json,correctness JSON,included,PASS/FAIL correctness summary for the benchmark.
Section III-E matched streaming temporalization environment,evidence/locked_sources/temporalization_streaming/streaming_temporalization_environment.json,environment JSON,included,Sanitized benchmark environment summary.
Section III-E matched streaming temporalization notes,evidence/locked_sources/temporalization_streaming/README.md,documentation,included,Benchmark method and interpretation notes.
Section III-E matched streaming temporalization helper,scripts/verification/benchmark_temporalization_streaming.py,benchmark helper script,included,Generic script with synthetic self-test; accepts a compatible input path.
Section III-E matched streaming temporalization verifier,scripts/verification/verify_streaming_temporalization_benchmark.py,verification script,included,Recomputes paper-aligned ranges from packaged evidence.
Section III-E matched streaming temporalization supplement,docs/supplementary/11_streaming_temporalization_benchmark.md,supplementary documentation,included,Supplementary description of the benchmark.
Supplementary robustness and sensitivity summary,evidence/robustness_sensitivity/robustness_sensitivity_summary.csv,supplementary evidence CSV,included,Metric-specific repeated-seed and window-size summaries.
Supplementary robustness and sensitivity verifier,scripts/verification/verify_robustness_sensitivity.py,verification script,included,Checks summary rows against their packaged source tables.
